1173,3,3+3!*(33*3!-3),3+3!*(33*3!-3)
1173,4,4!+√4*4!*(4!-√(4^-4)),4!+s4*4!*(4!-s{4^{-4}})
1173,5,(5!-5)/5+(5+5)*(5!-5),f{5!-5}5+(5+5)*(5!-5)
1173,6,(6!+6*(66+6!))/(6+6)+6!,f{6!+6*(66+6!)}{6+6}+6!
1173,7,7+7*7*7+((7+7!)/7+7!)/7,7+7*7*7+f{f{7+7!}7+7!}7
1173,8,(8+8!/√(8+8))/8-88,f{8+f{8!}{s{8+8}}}8-88
1173,9,√9+9+9*(9+(√9)!!/(√9)!),s9+9+9*(9+f{(s9)!!}{(s9)!})
1174,1,(1+1)*(11+((1+1)^(1+1))!^(1+1)),(1+1)*(11+((1+1)^{1+1})!^{1+1})
1174,2,22+2*(2^2)!^2,22+2*(2^2)!^2
1174,3,(3!!-3!)/3+3!!+3!^3,f{3!!-3!}3+3!!+3!^3
1174,4,4!-√4+√4*4!^√4,4!-s4+s4*4!^{s4}
1174,5,5!/5+(5+5)*(5!-5),f{5!}5+(5+5)*(5!-5)
1174,6,6*√6^6-(6+6+6!)/6,6*s6^6-f{6+6+6!}6
1174,7,77+(7!+7!)/7-7*7*7,77+f{7!+7!}7-7*7*7
1174,8,(8+8!/8)/√(8+8)-88,f{8+f{8!}8}{s{8+8}}-88
1174,9,(√9)!+(9!-9!/9)/(√9)!!+(√9)!!,(s9)!+f{9!-f{9!}9}{(s9)!!}+(s9)!!
1175,1,(1+1)^(1+1+1)!+1111,(1+1)^{(1+1+1)!}+1111
1175,2,22+2*(2^2)!^2+2/2,22+2*(2^2)!^2+f22
1175,3,(3!!-3)/3+3!!+3!^3,f{3!!-3}3+3!!+3!^3
1175,4,4!-√4/√4+√4*4!^√4,4!-f{s4}{s4}+s4*4!^{s4}
1175,5,5*(5!-5+5!),5*(5!-5+5!)
1175,6,6*√6^6-(6+6!)/6,6*s6^6-f{6+6!}6
1175,7,(7+7)*(7+77)-7/7,(7+7)*(7+77)-f77
1175,8,8888/8+√√8^8,f{8888}8+s{s8}^8
1175,9,(√9)!^√9+((√9)!!-√9)/√9+(√9)!!,(s9)!^{s9}+f{(s9)!!-s9}{s9}+(s9)!!
1176,1,(1+111)*(11-1/(1+1)),(1+111)*(11-f1{1+1})
1176,2,(2^2)!+2*(2^2)!^2,(2^2)!+2*(2^2)!^2
1176,3,3!!/3+3!^3+3!!,f{3!!}3+3!^3+3!!
1176,4,4!+√4*4!^√4,4!+s4*4!^{s4}
1176,5,5*(5!+5!)-5!/5,5*(5!+5!)-f{5!}5
1176,6,6*√6^6-6!/6,6*s6^6-f{6!}6
1176,7,(7+7)*(7+77),(7+7)*(7+77)
1176,8,(√(8+8))!*√√(8-8/8)^8,(s{8+8})!*s{s{8-f88}}^8
1176,9,(√9)!^√9+(√9)!!/√9+(√9)!!,(s9)!^{s9}+f{(s9)!!}{s9}+(s9)!!
1177,1,11*(111-1-1-1-1),11*(111-1-1-1-1)
1177,2,(2^2)!+2*(2^2)!^2+2/2,(2^2)!+2*(2^2)!^2+f22
1177,3,3!!+(3+3!!)/3+3!^3,3!!+f{3+3!!}3+3!^3
1177,4,√4/√4+4!+√4*4!^√4,f{s4}{s4}+4!+s4*4!^{s4}
1177,5,5*(5!+5!)-(5!-5)/5,5*(5!+5!)-f{5!-5}5
1177,6,6*√6^6-(6!-6)/6,6*s6^6-f{6!-6}6
1177,7,7/7+(7+7)*(7+77),f77+(7+7)*(7+77)
1177,8,8/8+(√(8+8))!*√√(8-8/8)^8,f88+(s{8+8})!*s{s{8-f88}}^8
1177,9,9+(9!-9!/9)/(√9)!!+(√9)!!,9+f{9!-f{9!}9}{(s9)!!}+(s9)!!
1178,1,1+11*(111-1-1-1-1),1+11*(111-1-1-1-1)
1178,2,2+(2^2)!+2*(2^2)!^2,2+(2^2)!+2*(2^2)!^2
1178,3,(3!+3!!)/3+3!!+3!^3,f{3!+3!!}3+3!!+3!^3
1178,4,√4+4!+√4*4!^√4,s4+4!+s4*4!^{s4}
1178,5,5*(5!+5!)-(5!-5-5)/5,5*(5!+5!)-f{5!-5-5}5
1178,6,6*√6^6-(6!-6-6)/6,6*s6^6-f{6!-6-6}6
1178,7,(7+7)/7+(7+7)*(7+77),f{7+7}7+(7+7)*(7+77)
1178,8,(8!/(√(8+8))!+√√88^8)/8,f{f{8!}{(s{8+8})!}+s{s{88}}^8}8
1178,9,99+(9*(√9)!!-(√9)!)/(√9)!,99+f{9*(s9)!!-(s9)!}{(s9)!}
1179,1,(11-1-1)*(11+((1+1+1)!-1)!),(11-1-1)*(11+((1+1+1)!-1)!)
1179,2,2+(2^2)!+2*(2^2)!^2+2/2,2+(2^2)!+2*(2^2)!^2+f22
1179,3,3+3!!/3+3!^3+3!!,3+f{3!!}3+3!^3+3!!
1179,4,4!+√4*4!*(4!+√(4^-4)),4!+s4*4!*(4!+s{4^{-4}})
1179,5,5-5/5+5*(5!-5+5!),5-f55+5*(5!-5+5!)
1179,6,6!-(6+6!/6+6!+6!)/6+6!,6!-f{6+f{6!}6+6!+6!}6+6!
1179,7,(7+7+7)/7+(7+7)*(7+77),f{7+7+7}7+(7+7)*(7+77)
1179,8,8+(8!/√(8+8)-8)/8-88,8+f{f{8!}{s{8+8}}-8}8-88
1179,9,99+9*(√9)!!/(√9)!,99+9*f{(s9)!!}{(s9)!}
1180,1,(11-1)*(((1+1+1)!-1)!-1-1),(11-1)*(((1+1+1)!-1)!-1-1)
1180,2,(2^2)!+2*(2+(2^2)!^2),(2^2)!+2*(2+(2^2)!^2)
1180,3,(3!/3+3)*((3!!-3)/3-3),(f{3!}3+3)*(f{3!!-3}3-3)
1180,4,4+4!+√4*4!^√4,4+4!+s4*4!^{s4}
1180,5,5+5*(5!-5+5!),5+5*(5!-5+5!)
1180,6,6!-(6!/6+6!+6!)/6+6!,6!-f{f{6!}6+6!+6!}6+6!
1180,7,77/7-7+(7+7)*(7+77),f{77}7-7+(7+7)*(7+77)
1180,8,8+8!/8/√(8+8)-88,8+f{f{8!}8}{s{8+8}}-88
1180,9,99+((√9)!+9*(√9)!!)/(√9)!,99+f{(s9)!+9*(s9)!!}{(s9)!}
1181,1,1+(11-1)*(((1+1+1)!-1)!-1-1),1+(11-1)*(((1+1+1)!-1)!-1-1)
1181,2,(2-2^-2)*(2+(2+2)!)^2-2,(2-2^{-2})*(2+(2+2)!)^2-2
1181,3,3+(3!+3!!)/3+3!!+3!^3,3+f{3!+3!!}3+3!!+3!^3
1181,4,√4+4!+√4*4!*(4!+√(4^-4)),s4+4!+s4*4!*(4!+s{4^{-4}})
1181,5,5+5*(5!+5!)-5!/5,5+5*(5!+5!)-f{5!}5
1181,6,6+6*√6^6-(6+6!)/6,6+6*s6^6-f{6+6!}6
1181,7,77-7+7777/7,77-7+f{7777}7
1181,8,(√(8+8))!*8+((88/8)!-8!)/8!,(s{8+8})!*8+f{(f{88}8)!-8!}{8!}
1181,9,(9+(√9)!)*((√9)!!-(√9)!)/9-9,f{(9+(s9)!)*((s9)!!-(s9)!)}9-9
1182,1,√(1+(1+(1+1+1)!)!)+1111,s{1+(1+(1+1+1)!)!}+1111
1182,2,2+(2^2)!+2*(2+(2^2)!^2),2+(2^2)!+2*(2+(2^2)!^2)
1182,3,33*3!*3!-3!,33*3!*3!-3!
1182,4,√4+4+4!+√4*4!^√4,s4+4+4!+s4*4!^{s4}
1182,5,5+5*(5!+5!)-(5!-5)/5,5+5*(5!+5!)-f{5!-5}5
1182,6,6+6*√6^6-6!/6,6+6*s6^6-f{6!}6
1182,7,(7-7/7)*77+7!/7,(7-f77)*77+f{7!}7
1182,8,(√(8+8))!*8+(88/8)!/8!,(s{8+8})!*8+f{(f{88}8)!}{8!}
1182,9,(√9)!*((√9)!!/9-√9)+(√9)!!,(s9)!*(f{(s9)!!}9-s9)+(s9)!!
1183,1,1+√(1+(1+(1+1+1)!)!)+1111,1+s{1+(1+(1+1+1)!)!}+1111
1183,2,(2-2^-2)*(2+(2+2)!)^2,(2-2^{-2})*(2+(2+2)!)^2
1183,3,3/3+33*3!*3!-3!,f33+33*3!*3!-3!
1183,4,(4+4!)*√(((√4+4!)/4)^4),(4+4!)*s{(f{s4+4!}4)^4}
1183,5,5*(5!+5!)-5!/(5+5)-5,5*(5!+5!)-f{5!}{5+5}-5
1183,6,6+6*√6^6-(6!-6)/6,6+6*s6^6-f{6!-6}6
1183,7,7+(7+7)*(7+77),7+(7+7)*(7+77)
1183,8,√√88^8-((√(8+8))!/8)^8,s{s{88}}^8-(f{(s{8+8})!}8)^8
1183,9,(√9+(√9)!*((√9)!!-9)-(√9)!!)/√9,f{s9+(s9)!*((s9)!!-9)-(s9)!!}{s9}
1184,1,111*(11-1/(1+1+1)),111*(11-f1{1+1+1})
1184,2,2*(2^2^2+(2^2)!^2),2*(2^{2^2}+(2^2)!^2)
1184,3,3!/3+33*3!*3!-3!,f{3!}3+33*3!*3!-3!
1184,4,√4*(√4^4+4!^√4),s4*(s4^4+4!^{s4})
1184,5,5*(5!+5!)-55/5-5,5*(5!+5!)-f{55}5-5
1184,6,(6!-6)*(6-6!/√(6^6))-6!,(6!-6)*(6-f{6!}{s{6^6}})-6!
1184,7,7/7+7+(7+7)*(7+77),f77+7+(7+7)*(7+77)
1184,8,√√(8+8)*(8+8+√√(√(8+8))!^8),s{s{8+8}}*(8+8+s{s{(s{8+8})!}}^8)
1184,9,9!/(√9)!!+(√9)!!-(√9)!!/(√9)!/√9,f{9!}{(s9)!!}+(s9)!!-f{f{(s9)!!}{(s9)!}}{s9}
1185,1,1+111*(11-1/(1+1+1)),1+111*(11-f1{1+1+1})
1185,2,2+(2-2^-2)*(2+(2+2)!)^2,2+(2-2^{-2})*(2+(2+2)!)^2
1185,3,33*3!*3!-3,33*3!*3!-3
1185,4,4!+4!*4!*(√4+√√√(4^-4!)),4!+4!*4!*(s4+s{s{s{4^{-4!}}}})
1185,5,5+5+5*(5!-5+5!),5+5+5*(5!-5+5!)
1185,6,6*√6^6-666/6,6*s6^6-f{666}6
1185,7,(7+7)/7+7+(7+7)*(7+77),f{7+7}7+7+(7+7)*(7+77)
1185,8,(8!-(√(8+8)+8)!/8!)/(√(8+8))!,f{8!-f{(s{8+8}+8)!}{8!}}{(s{8+8})!}
1185,9,(9+(√9)!)*((√9)!!-9)/9,(9+(s9)!)*f{(s9)!!-9}9
1186,1,11*(111-1-1-1)-1-1,11*(111-1-1-1)-1-1
1186,2,2+2*(2^2^2+(2^2)!^2),2+2*(2^{2^2}+(2^2)!^2)
1186,3,33*3!*3!-3!/3,33*3!*3!-f{3!}3
1186,4,√4+√4*(√4^4+4!^√4),s4+s4*(s4^4+4!^{s4})
1186,5,5+5+5*(5!+5!)-5!/5,5+5+5*(5!+5!)-f{5!}5
1186,6,(6+6)/6*(6!-(6+6!)/6-6),f{6+6}6*(6!-f{6+6!}6-6)
1186,7,7*7+7!/(7+7)+777,7*7+f{7!}{7+7}+777
1186,8,√(√√(8+8)+8)^8/8-√√8^8,f{s{s{s{8+8}}+8}^8}8-s{s8}^8
1186,9,(√9)!*(((√9)!+(√9)!!)/9-√9)+(√9)!!,(s9)!*(f{(s9)!+(s9)!!}9-s9)+(s9)!!
1187,1,11*(111-1-1-1)-1,11*(111-1-1-1)-1
1187,2,22/2+(2^2)!+2*(2^2)!^2,f{22}2+(2^2)!+2*(2^2)!^2
1187,3,33*3!*3!-3/3,33*3!*3!-f33
1187,4,√4+4!+4!*4!*(√4+√√√(4^-4!)),s4+4!+4!*4!*(s4+s{s{s{4^{-4!}}}})
1187,5,5!/(5+5)+5*(5!-5+5!),f{5!}{5+5}+5*(5!-5+5!)
1187,6,6*√6^6-(6!-66)/6,6*s6^6-f{6!-66}6
1187,7,77/7+(7+7)*(7+77),f{77}7+(7+7)*(7+77)
1187,8,√(8*(8+8!))+(8!/8-88)/8,s{8*(8+8!)}+f{f{8!}8-88}8
1187,9,(√9)!!/9+9*(√9+(√9)!!/(√9)!),f{(s9)!!}9+9*(s9+f{(s9)!!}{(s9)!})
1188,1,11*(111-1-1-1),11*(111-1-1-1)
1188,2,22*(2+2*(2+(2^2)!)),22*(2+2*(2+(2^2)!))
1188,3,33*3!*3!,33*3!*3!
1188,4,4!*4!*(√4+√(4^-4)),4!*4!*(s4+s{4^{-4}})
1188,5,5*(5!+5!)-5!/(5+5),5*(5!+5!)-f{5!}{5+5}
1188,6,(6+6+6)*66,(6+6+6)*66
1188,7,77+7777/7,77+f{7777}7
1188,8,8!/8/√(8+8)-√√8^8-8,f{f{8!}8}{s{8+8}}-s{s8}^8-8
1188,9,(√9+9)*99,(s9+9)*99
1189,1,1+11*(111-1-1-1),1+11*(111-1-1-1)
1189,2,222-2/2+2*22^2,222-f22+2*22^2
1189,3,3/3+33*3!*3!,f33+33*3!*3!
1189,4,4+4!+4!*4!*(√4+√√√(4^-4!)),4+4!+4!*4!*(s4+s{s{s{4^{-4!}}}})
1189,5,5*(5!+5!)-55/5,5*(5!+5!)-f{55}5
1189,6,6/6+(6+6+6)*66,f66+(6+6+6)*66
1189,7,7+(7-7/7)*77+7!/7,7+(7-f77)*77+f{7!}7
1189,8,8!/8/√(8+8)-√((8+8!)/8),f{f{8!}8}{s{8+8}}-s{f{8+8!}8}
1189,9,√9/√9+(√9+9)*99,f{s9}{s9}+(s9+9)*99
1190,1,(11-1)*(((1+1+1)!-1)!-1),(11-1)*(((1+1+1)!-1)!-1)
1190,2,222+2*22^2,222+2*22^2
1190,3,(3!/3+3)*(3!!-3!)/3,(f{3!}3+3)*f{3!!-3!}3
1190,4,√4+4!*4!*(√4+√(4^-4)),s4+4!*4!*(s4+s{4^{-4}})
1190,5,(5+5)*(5!-5/5),(5+5)*(5!-f55)
1190,6,6!/6/(6+6)*(6!-6)/6,f{f{6!}6}{6+6}*f{6!-6}6
1190,7,7+7+(7+7)*(7+77),7+7+(7+7)*(7+77)
1190,8,√(8*(8+8!))-8+8!/8/8,s{8*(8+8!)}-8+f{f{8!}8}8
1190,9,(9+(√9)!)*((√9)!!-(√9)!)/9,f{(9+(s9)!)*((s9)!!-(s9)!)}9
1191,1,1+(11-1)*(((1+1+1)!-1)!-1),1+(11-1)*(((1+1+1)!-1)!-1)
1191,2,222+2*22^2+2/2,222+2*22^2+f22
1191,3,3+33*3!*3!,3+33*3!*3!
1191,4,4!*(√4+4!*(√4-√√√(4^-4!))),4!*(s4+4!*(s4-s{s{s{4^{-4!}}}}))
1191,5,5/5+(5+5)*(5!-5/5),f55+(5+5)*(5!-f55)
1191,6,6+6*√6^6-666/6,6+6*s6^6-f{666}6
1191,7,7!/(7+7)+(777+7!)/7,f{7!}{7+7}+f{777+7!}7
1191,8,√((8+8!)/8)+8!-√√((√(8+8!)-√8)^8),s{f{8+8!}8}+8!-s{s{(s{8+8!}-s8)^8}}
1191,9,√9+(√9+9)*99,s9+(s9+9)*99
1192,1,1+1+(11-1)*(((1+1+1)!-1)!-1),1+1+(11-1)*(((1+1+1)!-1)!-1)
1192,2,2*(22+(2^2)!^2-2),2*(22+(2^2)!^2-2)
1192,3,3!!-3!-(3!+3!!)/3+3!!,3!!-3!-f{3!+3!!}3+3!!
1192,4,√4*(4!-4+4!^√4),s4*(4!-4+4!^{s4})
1192,5,5*(5!+5!)-5!/(5+5+5),5*(5!+5!)-f{5!}{5+5+5}
1192,6,6*6+((6^6-6!)/6-6!)/6,6*6+f{f{6^6-6!}6-6!}6
1192,7,7!-√(7*7^7)-(7!+7!)/7-7,7!-s{7*7^7}-f{7!+7!}7-7
1192,8,√√8^8-8+√(8+8!)*(√8+√8),s{s8}^8-8+s{8+8!}*(s8+s8)
1192,9,(√9)!!-((√9)!+(√9)!!)/√9-(√9)!+(√9)!!,(s9)!!-f{(s9)!+(s9)!!}{s9}-(s9)!+(s9)!!
1193,1,11*(111-1-1)-(1+1+1)!,11*(111-1-1)-(1+1+1)!
1193,2,(22/2+2)^2+√2^(22-2),(f{22}2+2)^2+s2^{22-2}
1193,3,3!!-(3+3!!)/3-3!+3!!,3!!-f{3+3!!}3-3!+3!!
1193,4,((√4+4!)^√4+√√4^4!)/4,f{(s4+4!)^{s4}+s{s4}^{4!}}4
1193,5,5+5*(5!+5!)-5!/(5+5),5+5*(5!+5!)-f{5!}{5+5}
1193,6,6!-(6+6!+6!)/6-6+6!,6!-f{6+6!+6!}6-6+6!
1193,7,(7*√7^7-√7)/(√7+√7)-7,f{7*s7^7-s7}{s7+s7}-7
1193,8,(8+(√8+√√√(8+8))^8)/88,f{8+(s8+s{s{s{8+8}}})^8}{88}
1193,9,√9+(9+(√9)!)*((√9)!!-(√9)!)/9,s9+f{(9+(s9)!)*((s9)!!-(s9)!)}9
1194,1,(11-1)*((1+1+1)!-1)!-(1+1+1)!,(11-1)*((1+1+1)!-1)!-(1+1+1)!
1194,2,2*(22+(2^2)!^2)-2,2*(22+(2^2)!^2)-2
1194,3,3!+33*3!*3!,3!+33*3!*3!
1194,4,√4+√4*(4!-4+4!^√4),s4+s4*(4!-4+4!^{s4})
1194,5,5*(5!+5!)-5-5/5,5*(5!+5!)-5-f55
1194,6,6+(6+6+6)*66,6+(6+6+6)*66
1194,7,(√7+7*√7^7)/(√7+√7)-7,f{s7+7*s7^7}{s7+s7}-7
1194,8,(8!/8-8)/√(8+8)-√√8^8,f{f{8!}8-8}{s{8+8}}-s{s8}^8
1194,9,(√9)!+(√9+9)*99,(s9)!+(s9+9)*99
1195,1,(11-1)*(((1+1+1)!-1)!-1/(1+1)),(11-1)*(((1+1+1)!-1)!-f1{1+1})
1195,2,2*(22+(2^2)!^2)-2/2,2*(22+(2^2)!^2)-f22
1195,3,(3!/3+3)*(3!!-3)/3,(f{3!}3+3)*f{3!!-3}3
1195,4,√4+((√4+4!)^√4+√√4^4!)/4,s4+f{(s4+4!)^{s4}+s{s4}^{4!}}4
1195,5,5*(5!+5!)-5,5*(5!+5!)-5
1195,6,(6-6/6)*(6!-6+6!)/6,(6-f66)*f{6!-6+6!}6
1195,7,7+77+7777/7,7+77+f{7777}7
1195,8,(8!/√(8+8)-8)/8-√√8^8,f{f{8!}{s{8+8}}-8}8-s{s8}^8
1195,9,(9+(√9)!)*((√9)!!-√9)/9,f{(9+(s9)!)*((s9)!!-s9)}9
1196,1,(1+1)*((1+1+1)!!-11^(1+1)-1),(1+1)*((1+1+1)!!-11^{1+1}-1)
1196,2,2*(22+(2^2)!^2),2*(22+(2^2)!^2)
1196,3,3!/3*(3!!-3!)/3+3!!,f{3!}3*f{3!!-3!}3+3!!
1196,4,√4*(4!-√4+4!^√4),s4*(4!-s4+4!^{s4})
1196,5,5/5+5*(5!+5!)-5,f55+5*(5!+5!)-5
1196,6,((6!+6^6)/6-6!)/6,f{f{6!+6^6}6-6!}6
1196,7,7*(77-7)-7-7+7!/7,7*(77-7)-7-7+f{7!}7
1196,8,8!/8/√(8+8)-√√8^8,f{f{8!}8}{s{8+8}}-s{s8}^8
1196,9,(√9)!*((√9)!!-(√9)!)/9+(√9)!!,f{(s9)!*((s9)!!-(s9)!)}9+(s9)!!
1197,1,11*(111-1-1)-1-1,11*(111-1-1)-1-1
1197,2,2*(22+(2^2)!^2)+2/2,2*(22+(2^2)!^2)+f22
1197,3,3!!-3!!/3-3+3!!,3!!-f{3!!}3-3+3!!
1197,4,√4*(4!+4!*(4!-√(4^-4))),s4*(4!+4!*(4!-s{4^{-4}}))
1197,5,(5+5)/5+5*(5!+5!)-5,f{5+5}5+5*(5!+5!)-5
1197,6,(6+(6!+6^6)/6-6!)/6,f{6+f{6!+6^6}6-6!}6
1197,7,7*(√7^7-√7)/(√7+√7),7*f{s7^7-s7}{s7+s7}
1197,8,√(8*(8+8!))+(8!/8-8)/8,s{8*(8+8!)}+f{f{8!}8-8}8
1197,9,9+(√9+9)*99,9+(s9+9)*99
1198,1,11*(111-1-1)-1,11*(111-1-1)-1
1198,2,2+2*(22+(2^2)!^2),2+2*(22+(2^2)!^2)
1198,3,3!!+3!!-(3!+3!!)/3,3!!+3!!-f{3!+3!!}3
1198,4,√4*(4!+4!^√4)-√4,s4*(4!+4!^{s4})-s4
1198,5,5*(5!+5!)-(5+5)/5,5*(5!+5!)-f{5+5}5
1198,6,(6+6)/6*(6!-(6+6!)/6),f{6+6}6*(6!-f{6+6!}6)
1198,7,7/7+7*(√7^7-√7)/(√7+√7),f77+7*f{s7^7-s7}{s7+s7}
1198,8,√(8*(8+8!))+8!/8/8,s{8*(8+8!)}+f{f{8!}8}8
1198,9,(√9)!!-((√9)!+(√9)!!)/√9+(√9)!!,(s9)!!-f{(s9)!+(s9)!!}{s9}+(s9)!!
1199,1,11*(111-1-1),11*(111-1-1)
1199,2,22/2*(222/2-2),f{22}2*(f{222}2-2)
1199,3,3!!-(3+3!!)/3+3!!,3!!-f{3+3!!}3+3!!
1199,4,√4*(4!+4!^√4)-√4/√4,s4*(4!+4!^{s4})-f{s4}{s4}
1199,5,5*(5!+5!)-5/5,5*(5!+5!)-f55
1199,6,6!-(6+6!+6!)/6+6!,6!-f{6+6!+6!}6+6!
1199,7,7!-√(7*7^7)-(7!+7!)/7,7!-s{7*7^7}-f{7!+7!}7
1199,8,88+8888/8,88+f{8888}8
1199,9,(√9)!!-(√9+(√9)!!)/√9+(√9)!!,(s9)!!-f{s9+(s9)!!}{s9}+(s9)!!
1200,1,(11-1)*((1+1+1)!-1)!,(11-1)*((1+1+1)!-1)!
1200,2,2*((2^2)!+(2^2)!^2),2*((2^2)!+(2^2)!^2)
1200,3,3!!-3!!/3+3!!,3!!-f{3!!}3+3!!
1200,4,√4*(4!+4!^√4),s4*(4!+4!^{s4})
1200,5,5*(5!+5!),5*(5!+5!)
1200,6,6!-(6!+6!)/6+6!,6!-f{6!+6!}6+6!
1200,7,(7*√7^7-√7)/(√7+√7),f{7*s7^7-s7}{s7+s7}
1200,8,(√((8+8!)/√√(8+8))+8)*8,(s{f{8+8!}{s{s{8+8}}}}+8)*8
1200,9,(9+(√9)!)*(√9)!!/9,(9+(s9)!)*f{(s9)!!}9
