1762,1,1+1+(1+1+1)!!/(1/(1+1)-1/11),1+1+f{(1+1+1)!!}{f1{1+1}-f1{11}}
1762,2,(2*22-2)^2-2,(2*22-2)^2-2
1762,3,33+3/3+(3!+3!)^3,33+f33+(3!+3!)^3
1762,4,(44-√4)^√4-√4,(44-s4)^{s4}-s4
1762,5,5+5+5!*(5+(5!+5!)/5/5),5+5+5!*(5+f{f{5!+5!}5}5)
1762,6,6*6-(6+6)/6+√(6+6)^6,6*6-f{6+6}6+s{6+6}^6
1762,7,(√7!+√7!)*(√7!-√((7+7)!+7!)/7!),(s{7!}+s{7!})*(s{7!}-f{s{(7+7)!+7!}}{7!})
1762,8,(√(√√(8+8)+8)^8+√8^8)/8,f{s{s{s{8+8}}+8}^8+s8^8}8
1762,9,9+(9!-9)/((√9)!^√9-9),9+f{9!-9}{(s9)!^{s9}-9}
1763,1,((1+1)*(11-1+11))^(1+1)-1,((1+1)*(11-1+11))^{1+1}-1
1763,2,(2*22-2)^2-2/2,(2*22-2)^2-f22
1763,3,3!/3+33+(3!+3!)^3,f{3!}3+33+(3!+3!)^3
1763,4,(44-√4)^√4-√4/√4,(44-s4)^{s4}-f{s4}{s4}
1763,5,5*(5!-5+5!+5!)-5!/(5+5),5*(5!-5+5!+5!)-f{5!}{5+5}
1763,6,6*6-6/6+√(6+6)^6,6*6-f66+s{6+6}^6
1763,7,(7+7)*(7*7+77)-7/7,(7+7)*(7*7+77)-f77
1763,8,√(8-8/8)^8-8!/8/8-8,s{8-f88}^8-f{f{8!}8}8-8
1763,9,√9+(√9)!!/9+9!/(√9)!^√9,s9+f{(s9)!!}9+f{9!}{(s9)!^{s9}}
1764,1,((1+1)*(11-1+11))^(1+1),((1+1)*(11-1+11))^{1+1}
1764,2,(2*22-2)^2,(2*22-2)^2
1764,3,(3!+3!*3!)^(3!/3),(3!+3!*3!)^{f{3!}3}
1764,4,(44-√4)^√4,(44-s4)^{s4}
1764,5,((5+5)/5+5)*(5+5)!/5!/5!,(f{5+5}5+5)*f{f{(5+5)!}{5!}}{5!}
1764,6,6*6+√(6+6)^6,6*6+s{6+6}^6
1764,7,(7+7)*(7*7+77),(7+7)*(7*7+77)
1764,8,√√(√√(8+8)+8+8+(√(8+8))!)^8,s{s{s{s{8+8}}+8+8+(s{8+8})!}}^8
1764,9,√9*((√9)!*99-(√9)!),s9*((s9)!*99-(s9)!)
1765,1,1+((1+1)*(11-1+11))^(1+1),1+((1+1)*(11-1+11))^{1+1}
1765,2,(2*22-2)^2+2/2,(2*22-2)^2+f22
1765,3,3/3+(3!+3!*3!)^(3!/3),f33+(3!+3!*3!)^{f{3!}3}
1765,4,√4/√4+(44-√4)^√4,f{s4}{s4}+(44-s4)^{s4}
1765,5,5+((5+5)/5)^5*55,5+(f{5+5}5)^5*55
1765,6,6/6+6*6+√(6+6)^6,f66+6*6+s{6+6}^6
1765,7,7*7+(7+7)!/(7!+7!)/7!,7*7+f{f{(7+7)!}{7!+7!}}{7!}
1765,8,((√√√8+√√√8)^8-8+8!)/(√(8+8))!,f{(s{s{s8}}+s{s{s8}})^8-8+8!}{(s{8+8})!}
1765,9,((√9)!!+√9*(9!/(√9)!+9!))/(√9)!!,f{(s9)!!+s9*(f{9!}{(s9)!}+9!)}{(s9)!!}
1766,1,1+1+((1+1)*(11-1+11))^(1+1),1+1+((1+1)*(11-1+11))^{1+1}
1766,2,2+(2*22-2)^2,2+(2*22-2)^2
1766,3,3!/3+(3!+3!*3!)^(3!/3),f{3!}3+(3!+3!*3!)^{f{3!}3}
1766,4,√4+(44-√4)^√4,s4+(44-s4)^{s4}
1766,5,5*(5!+5!+5!)-5!/5-5-5,5*(5!+5!+5!)-f{5!}5-5-5
1766,6,(6+6)/6+6*6+√(6+6)^6,f{6+6}6+6*6+s{6+6}^6
1766,7,7*7+(7!+(7+7)!/(7!+7!))/7!,7*7+f{7!+f{(7+7)!}{7!+7!}}{7!}
1766,8,88-√√(8+8)+8!/(√(8+8))!,88-s{s{8+8}}+f{8!}{(s{8+8})!}
1766,9,(√9)!+(√9)!!/9+9!/(√9)!^√9,(s9)!+f{(s9)!!}9+f{9!}{(s9)!^{s9}}
1767,1,1+1+1+((1+1)*(11-1+11))^(1+1),1+1+1+((1+1)*(11-1+11))^{1+1}
1767,2,2+(2*22-2)^2+2/2,2+(2*22-2)^2+f22
1767,3,3+(3!+3!*3!)^(3!/3),3+(3!+3!*3!)^{f{3!}3}
1767,4,√4+√4/√4+(44-√4)^√4,s4+f{s4}{s4}+(44-s4)^{s4}
1767,5,(5+5+5)*(5!-55/5/5),(5+5+5)*(5!-f{f{55}5}5)
1767,6,((6!+6!)/6-6)/6+√(6+6)^6,f{f{6!+6!}6-6}6+s{6+6}^6
1767,7,7+7!/(7/(7+7)-7/77)/7,7+f{f{7!}{f7{7+7}-f7{77}}}7
1767,8,88-8/8+8!/(√(8+8))!,88-f88+f{8!}{(s{8+8})!}
1767,9,√9+√9*((√9)!*99-(√9)!),s9+s9*((s9)!*99-(s9)!)
1768,1,(1+1)^(1+1+1)*((1+1)*111-1),(1+1)^{1+1+1}*((1+1)*111-1)
1768,2,2+2+(2*22-2)^2,2+2+(2*22-2)^2
1768,3,3!!/3*3!+(3!+3!)^3,f{3!!}{3*3!}+(3!+3!)^3
1768,4,4+(44-√4)^√4,4+(44-s4)^{s4}
1768,5,5!+(5!+5!+√√((√5+√5)^(5!/5)))/5,5!+f{5!+5!+s{s{(s5+s5)^{f{5!}5}}}}5
1768,6,6!/(6+6+6)+√(6+6)^6,f{6!}{6+6+6}+s{6+6}^6
1768,7,(7!+7!+7!)/7-7*(7+7*7),f{7!+7!+7!}7-7*(7+7*7)
1768,8,88+8!/(√(8+8))!,88+f{8!}{(s{8+8})!}
1768,9,(√9)!!/(√9)!/√9+(√9+9)^√9,f{f{(s9)!!}{(s9)!}}{s9}+(s9+9)^{s9}
1769,1,(1+1)*(1+1)*(1+1+1)!!-1111,(1+1)*(1+1)*(1+1+1)!!-1111
1769,2,2+2+2/2+(2*22-2)^2,2+2+f22+(2*22-2)^2
1769,3,(3+3!!/3!)/3+(3!+3!)^3,f{3+f{3!!}{3!}}3+(3!+3!)^3
1769,4,(4/√(4+√4)!)^-4-4^4,(f4{s{(4+s4)!}})^{-4}-4^4
1769,5,(5!*5!-5555)/5,f{5!*5!-5555}5
1769,6,6-6/6+6*6+√(6+6)^6,6-f66+6*6+s{6+6}^6
1769,7,7+(√7!+√7!)*(√7!-√((7+7)!+7!)/7!),7+(s{7!}+s{7!})*(s{7!}-f{s{(7+7)!+7!}}{7!})
1769,8,8/8+88+8!/(√(8+8))!,f88+88+f{8!}{(s{8+8})!}
1769,9,9+(√9)!!/9+9!/(√9)!^√9,9+f{(s9)!!}9+f{9!}{(s9)!^{s9}}
1770,1,(11-1)*(11*(1+1+1)!+111),(11-1)*(11*(1+1+1)!+111)
1770,2,2+2+2+(2*22-2)^2,2+2+2+(2*22-2)^2
1770,3,3!+3!*3!+(3!+3!)^3,3!+3!*3!+(3!+3!)^3
1770,4,√4+4+(44-√4)^√4,s4+4+(44-s4)^{s4}
1770,5,5!+(5+5*5)*55,5!+(5+5*5)*55
1770,6,6*6+6+√(6+6)^6,6*6+6+s{6+6}^6
1770,7,77*77-√((7!+(7+7)!)/7!),77*77-s{f{7!+(7+7)!}{7!}}
1770,8,√√(8+8)+88+8!/(√(8+8))!,s{s{8+8}}+88+f{8!}{(s{8+8})!}
1770,9,(√9)!/√9*(9*99-(√9)!),f{(s9)!}{s9}*(9*99-(s9)!)
1771,1,11+(1+1+1)!!/(1/(1+1)-1/11),11+f{(1+1+1)!!}{f1{1+1}-f1{11}}
1771,2,2*(2*2*222-2)-2/2,2*(2*2*222-2)-f22
1771,3,3+3!!/3*3!+(3!+3!)^3,3+f{3!!}{3*3!}+(3!+3!)^3
1771,4,4!!/(4!-4)!/4!/(√4+4),f{f{f{4!!}{(4!-4)!}}{4!}}{s4+4}
1771,5,5*(5!+5!+5!)-5!/5-5,5*(5!+5!+5!)-f{5!}5-5
1771,6,66*√(6!+6/√(6^6)),66*s{6!+f6{s{6^6}}}
1771,7,7+(7+7)*(7*7+77),7+(7+7)*(7*7+77)
1771,8,√(8-8/8)^8-8!/8/8,s{8-f88}^8-f{f{8!}8}8
1771,9,√9*99*((√9)!-√(9^-√9)),s9*99*((s9)!-s{9^{-s9}})
1772,1,(1+1)*(1+1)*((1+1)*(1+1)*111-1),(1+1)*(1+1)*((1+1)*(1+1)*111-1)
1772,2,2*(2*2*222-2),2*(2*2*222-2)
1772,3,333-3/3+3!!+3!!,333-f33+3!!+3!!
1772,4,44+√(√√(4!/√4)^4!),44+s{s{s{f{4!}{s4}}}^{4!}}
1772,5,5*(5!+5!+5!)-5-(5!-5)/5,5*(5!+5!+5!)-5-f{5!-5}5
1772,6,6/6+66*√(6!+6/√(6^6)),f66+66*s{6!+f6{s{6^6}}}
1772,7,7+7*7+(7+7)!/(7!+7!)/7!,7+7*7+f{f{(7+7)!}{7!+7!}}{7!}
1772,8,(8!/√(8+8)+√8^8)/8,f{f{8!}{s{8+8}}+s8^8}8
1772,9,(√9)!*((√9)!^√9+((√9)!!-(√9)!)/9),(s9)!*((s9)!^{s9}+f{(s9)!!-(s9)!}9)
1773,1,111+(1+1)*(111+(1+1+1)!!),111+(1+1)*(111+(1+1+1)!!)
1773,2,22/2-2+(2*22-2)^2,f{22}2-2+(2*22-2)^2
1773,3,3!!+3!!+333,3!!+3!!+333
1773,4,√4+4!!/(4!-4)!/4!/(√4+4),s4+f{f{f{4!!}{(4!-4)!}}{4!}}{s4+4}
1773,5,(5!-5)/5+(5+5)*(55+5!),f{5!-5}5+(5+5)*(55+5!)
1773,6,666/(6+6)/6+6!+6!,f{666}{f{6+6}6}+6!+6!
1773,7,7+7*7+(7!+(7+7)!/(7!+7!))/7!,7+7*7+f{7!+f{(7+7)!}{7!+7!}}{7!}
1773,8,(8+8!/√(8+8)+√8^8)/8,f{8+f{8!}{s{8+8}}+s8^8}8
1773,9,√9*((√9)!*99-√9),s9*((s9)!*99-s9)
1774,1,(1+1)*((1+1)^(1+1+1)*111-1),(1+1)*((1+1)^{1+1+1}*111-1)
1774,2,2*2*2*222-2,2*2*2*222-2
1774,3,3/3+3!!+3!!+333,f33+3!!+3!!+333
1774,4,4*444-√4,4*444-s4
1774,5,5!/5+(5+5)*(55+5!),f{5!}5+(5+5)*(55+5!)
1774,6,6+6!/(6+6+6)+√(6+6)^6,6+f{6!}{6+6+6}+s{6+6}^6
1774,7,(√7^7-√7-√7)/√7-7+(7!+7!)/7,f{s7^7-s7-s7}{s7}-7+f{7!+7!}7
1774,8,√√(8+8)*(888-8/8),s{s{8+8}}*(888-f88)
1774,9,(√9)!*((√9)!^√9+((√9)!!-√9)/9),(s9)!*((s9)!^{s9}+f{(s9)!!-s9}9)
1775,1,(1+((1+1)^(1+1))!)*√(1+(1+(1+1+1)!)!),(1+((1+1)^{1+1})!)*s{1+(1+(1+1+1)!)!}
1775,2,22/2+(2*22-2)^2,f{22}2+(2*22-2)^2
1775,3,3!/3+3!!+3!!+333,f{3!}3+3!!+3!!+333
1775,4,4*4!+((√4*4)!-4!)/4!,4*4!+f{(s4*4)!-4!}{4!}
1775,5,5*(5!-5+5!+5!),5*(5!-5+5!+5!)
1775,6,(6!-6)/6+√6^6+6!+6!,f{6!-6}6+s6^6+6!+6!
1775,7,(7+7+77/7)*√(7/7+7!),(7+7+f{77}7)*s{f77+7!}
1775,8,(8/8+(√(8+8))!)*√((8+8!)/8),(f88+(s{8+8})!)*s{f{8+8!}8}
1775,9,(9-(√9)!/9)*((√9)!^√9-√9),(9-f{(s9)!}9)*((s9)!^{s9}-s9)
1776,1,111*(1+1)^(1+1)^(1+1),111*(1+1)^{(1+1)^{1+1}}
1776,2,2*2*2*222,2*2*2*222
1776,3,(3!/3)^3*(3!+3!^3),(f{3!}3)^3*(3!+3!^3)
1776,4,4*444,4*444
1776,5,5*(5!+5!+5!)-5!/5,5*(5!+5!+5!)-f{5!}5
1776,6,6!/6+√6^6+6!+6!,f{6!}6+s6^6+6!+6!
1776,7,7*7*7-7+(7!+7!)/7,7*7*7-7+f{7!+7!}7
1776,8,√√(8+8)*888,s{s{8+8}}*888
1776,9,(√9)!*((√9)!!/9+(√9)!^√9),(s9)!*(f{(s9)!!}9+(s9)!^{s9})
1777,1,1+111*(1+1)^(1+1)^(1+1),1+111*(1+1)^{(1+1)^{1+1}}
1777,2,2/2+2*2*2*222,f22+2*2*2*222
1777,3,(3/3+3!)^3-3!+3!!+3!!,(f33+3!)^3-3!+3!!+3!!
1777,4,√4/√4+4*444,f{s4}{s4}+4*444
1777,5,5*(5!+5!+5!)-(5!-5)/5,5*(5!+5!+5!)-f{5!-5}5
1777,6,6+66*√(6!+6/√(6^6)),6+66*s{6!+f6{s{6^6}}}
1777,7,7*7*7-7+(7+7!+7!)/7,7*7*7-7+f{7+7!+7!}7
1777,8,8/8+√√(8+8)*888,f88+s{s{8+8}}*888
1777,9,((9+(√9)!)*((√9)!!-9)-√9)/(√9)!,f{(9+(s9)!)*((s9)!!-9)-s9}{(s9)!}
1778,1,1+1+111*(1+1)^(1+1)^(1+1),1+1+111*(1+1)^{(1+1)^{1+1}}
1778,2,2+2*2*2*222,2+2*2*2*222
1778,3,3!!-(3!!-3!)/3+3!*3!^3,3!!-f{3!!-3!}3+3!*3!^3
1778,4,√4+4*444,s4+4*444
1778,5,5*(5+5)+√(√√(5!/(5+5))^(5!/5)),5*(5+5)+s{s{s{f{5!}{5+5}}}^{f{5!}5}}
1778,6,(6!/6*6-6)*(6+(6+6!)/6),(f{6!}{6*6}-6)*(6+f{6+6!}6)
1778,7,7*(7+7+7!/(7+7+7)),7*(7+7+f{7!}{7+7+7})
1778,8,√√(8+8)+√√(8+8)*888,s{s{8+8}}+s{s{8+8}}*888
1778,9,(√9+(9+(√9)!)*((√9)!!-9))/(√9)!,f{s9+(9+(s9)!)*((s9)!!-9)}{(s9)!}
1779,1,1+1+1+111*(1+1)^(1+1)^(1+1),1+1+1+111*(1+1)^{(1+1)^{1+1}}
1779,2,2+2/2+2*2*2*222,2+f22+2*2*2*222
1779,3,3*(3!!-(3!+3!!)/3!-3!),3*(3!!-f{3!+3!!}{3!}-3!)
1779,4,√4+√4/√4+4*444,s4+f{s4}{s4}+4*444
1779,5,5-5/5+5*(5!-5+5!+5!),5-f55+5*(5!-5+5!+5!)
1779,6,(6*6-6)*(6!-6)/(6+6)-6,f{(6*6-6)*(6!-6)}{6+6}-6
1779,7,7*(7+7)+√(7*7^7)-7!/7,7*(7+7)+s{7*7^7}-f{7!}7
1779,8,(√(8+8))!/8+√√(8+8)*888,f{(s{8+8})!}8+s{s{8+8}}*888
1779,9,99+9!/(√9)!^√9,99+f{9!}{(s9)!^{s9}}
1780,1,(1+1)*(11-1)*√(1+11*(1+1+1)!!),(1+1)*(11-1)*s{1+11*(1+1+1)!!}
1780,2,2*(2+2*2*222),2*(2+2*2*222)
1780,3,(3/3+3!)^3+3!!-3+3!!,(f33+3!)^3+3!!-3+3!!
1780,4,4+4*444,4+4*444
1780,5,5+5*(5!-5+5!+5!),5+5*(5!-5+5!+5!)
1780,6,6/√6!/√((√6!-√6!/6)^6)-6!,f6{f{s{6!}}{s{(s{6!}-f{s{6!}}6)^6}}}-6!
1780,7,√(7/7+7!)-7+(7+7)!/(7!+7!)/7!,s{f77+7!}-7+f{f{(7+7)!}{7!+7!}}{7!}
1780,8,√√(8+8)*(√√(8+8)+888),s{s{8+8}}*(s{s{8+8}}+888)
1780,9,(√9)!!/(√9)!*(√9)!*(9+(√9)!!/9),f{(s9)!!}{(s9)!*(s9)!}*(9+f{(s9)!!}9)
1781,1,(1+1)*11*(11-1-1)^(1+1)-1,(1+1)*11*(11-1-1)^{1+1}-1
1781,2,2*(2+2*2*222)+2/2,2*(2+2*2*222)+f22
1781,3,3*(3!!-3!)-(3!+3*3!!)/3!,3*(3!!-3!)-f{3!+3*3!!}{3!}
1781,4,4+√4/√4+4*444,4+f{s4}{s4}+4*444
1781,5,5+5*(5!+5!+5!)-5!/5,5+5*(5!+5!+5!)-f{5!}5
1781,6,6+(6!-6)/6+√6^6+6!+6!,6+f{6!-6}6+s6^6+6!+6!
1781,7,(√7^7-√7-√7)/√7+(7!+7!)/7,f{s7^7-s7-s7}{s7}+f{7!+7!}7
1781,8,8+(8+8!/√(8+8)+√8^8)/8,8+f{8+f{8!}{s{8+8}}+s8^8}8
1781,9,√9*(√9)!*99-√9/√9,s9*(s9)!*99-f{s9}{s9}
1782,1,(1+1)*11*(11-1-1)^(1+1),(1+1)*11*(11-1-1)^{1+1}
1782,2,22*(22/2-2)^2,22*(f{22}2-2)^2
1782,3,(3+3!)*33*3!,(3+3!)*33*3!
1782,4,√4+4+4*444,s4+4+4*444
1782,5,5+5*(5!+5!+5!)-(5!-5)/5,5+5*(5!+5!+5!)-f{5!-5}5
1782,6,(6/√(6+6))^6*66,(f6{s{6+6}})^6*66
1782,7,(√7^7-√7)/√7+(7!+7!)/7,f{s7^7-s7}{s7}+f{7!+7!}7
1782,8,(√(√(8+8))!^8+8!/8)/8-8!,f{s{(s{8+8})!}^8+f{8!}8}8-8!
1782,9,√9*(√9)!*99,s9*(s9)!*99
1783,1,1+(1+1)*11*(11-1-1)^(1+1),1+(1+1)*11*(11-1-1)^{1+1}
1783,2,22*(22/2-2)^2+2/2,22*(f{22}2-2)^2+f22
1783,3,(3/3+3!)^3+3!!+3!!,(f33+3!)^3+3!!+3!!
1783,4,4!+(√√4^4!-4!^√4-√4)/√4,4!+f{s{s4}^{4!}-4!^{s4}-s4}{s4}
1783,5,55+√(√√(5!/(5+5))^(5!/5)),55+s{s{s{f{5!}{5+5}}}^{f{5!}5}}
1783,6,√(6/6+6)^6+6!+6!,s{f66+6}^6+6!+6!
1783,7,7*7*7+(7!+7!)/7,7*7*7+f{7!+7!}7
1783,8,888/8-8+8!/(√(8+8))!,f{888}8-8+f{8!}{(s{8+8})!}
1783,9,√9/√9+√9*(√9)!*99,f{s9}{s9}+s9*(s9)!*99
1784,1,(1+1)^11-11*((1+1)^(1+1))!,(1+1)^{11}-11*((1+1)^{1+1})!
1784,2,2*2*(2+2*222),2*2*(2+2*222)
1784,3,3!/3+(3+3!)*33*3!,f{3!}3+(3+3!)*33*3!
1784,4,4*(√4+444),4*(s4+444)
1784,5,5!/5+((5+5)/5)^5*55,f{5!}5+(f{5+5}5)^5*55
1784,6,6/6+√(6/6+6)^6+6!+6!,f66+s{f66+6}^6+6!+6!
1784,7,7*7*7+(7+7!+7!)/7,7*7*7+f{7+7!+7!}7
1784,8,8+√√(8+8)*888,8+s{s{8+8}}*888
1784,9,(√9)!/√9+√9*(√9)!*99,f{(s9)!}{s9}+s9*(s9)!*99
1785,1,(1+1+1+1+11)*(((1+1+1)!-1)!-1),(1+1+1+1+11)*(((1+1+1)!-1)!-1)
1785,2,22-2/2+(2*22-2)^2,22-f22+(2*22-2)^2
1785,3,(3!!-3!)*(3-3/3!),(3!!-3!)*(3-f3{3!})
1785,4,((√4+4!)/4)^4-√(4^-4),(f{s4+4!}4)^4-s{4^{-4}}
1785,5,(5+5+5)*(5!-5/5),(5+5+5)*(5!-f55)
1785,6,(6*6-6)*(6!-6)/(6+6),f{(6*6-6)*(6!-6)}{6+6}
1785,7,(√√√7+√√√7)^(7+7/7)-7,(s{s{s7}}+s{s{s7}})^{7+f77}-7
1785,8,(8!/(8+8)+8!)/(√(8+8))!,f{f{8!}{8+8}+8!}{(s{8+8})!}
1785,9,√9+√9*(√9)!*99,s9+s9*(s9)!*99
1786,1,1+1+(1+1)^11-11*((1+1)^(1+1))!,1+1+(1+1)^{11}-11*((1+1)^{1+1})!
1786,2,22+(2*22-2)^2,22+(2*22-2)^2
1786,3,3+(3/3+3!)^3+3!!+3!!,3+(f33+3!)^3+3!!+3!!
1786,4,√4+4*(√4+444),s4+4*(s4+444)
1786,5,5+5+5*(5!+5!+5!)-5!/5,5+5+5*(5!+5!+5!)-f{5!}5
1786,6,6+6/√6!/√((√6!-√6!/6)^6)-6!,6+f6{f{s{6!}}{s{(s{6!}-f{s{6!}}6)^6}}}-6!
1786,7,7/7+(√√√7+√√√7)^(7+7/7)-7,f77+(s{s{s7}}+s{s{s7}})^{7+f77}-7
1786,8,√√(8+8)+8+√√(8+8)*888,s{s{8+8}}+8+s{s{8+8}}*888
1786,9,(√9)!!+(9*((√9)!!-9)-√9)/(√9)!,(s9)!!+f{9*((s9)!!-9)-s9}{(s9)!}
1787,1,11+111*(1+1)^(1+1)^(1+1),11+111*(1+1)^{(1+1)^{1+1}}
1787,2,22/2+2*2*2*222,f{22}2+2*2*2*222
1787,3,3!/3+(3!!-3!)*(3-3/3!),f{3!}3+(3!!-3!)*(3-f3{3!})
1787,4,√4+((√4+4!)/4)^4-√(4^-4),s4+(f{s4+4!}4)^4-s{4^{-4}}
1787,5,5!/(5+5)+5*(5!-5+5!+5!),f{5!}{5+5}+5*(5!-5+5!+5!)
1787,6,66-6-6/6+√(6+6)^6,66-6-f66+s{6+6}^6
1787,7,√(7/7+7!)+(7+7)!/(7!+7!)/7!,s{f77+7!}+f{f{(7+7)!}{7!+7!}}{7!}
1787,8,√√(8+8)+(8!/(8+8)+8!)/(√(8+8))!,s{s{8+8}}+f{f{8!}{8+8}+8!}{(s{8+8})!}
1787,9,(√9)!!+(√9+9*((√9)!!-9))/(√9)!,(s9)!!+f{s9+9*((s9)!!-9)}{(s9)!}
1788,1,(1+1+1)!!*(1+1+1/(1+1))-11-1,(1+1+1)!!*(1+1+f1{1+1})-11-1
1788,2,(2^2)!+(2*22-2)^2,(2^2)!+(2*22-2)^2
1788,3,3+(3!!-3!)*(3-3/3!),3+(3!!-3!)*(3-f3{3!})
1788,4,4!+(44-√4)^√4,4!+(44-s4)^{s4}
1788,5,5!/(5+5)*(5+5!/5+5!),f{5!}{5+5}*(5+f{5!}5+5!)
1788,6,66-6+√(6+6)^6,66-6+s{6+6}^6
1788,7,(√√√7+√√√7)*((√√√7+√√√7)^7-(√√√7+√√√7)/√√7),(s{s{s7}}+s{s{s7}})*((s{s{s7}}+s{s{s7}})^7-f{s{s{s7}}+s{s{s7}}}{s{s7}})
1788,8,√(8+8+(88-8)*8!)-8,s{8+8+(88-8)*8!}-8
1788,9,(√9)!+√9*(√9)!*99,(s9)!+s9*(s9)!*99
1789,1,(1+1+1)!!*(1+1+1/(1+1))-11,(1+1+1)!!*(1+1+f1{1+1})-11
1789,2,(2^2)!+(2*22-2)^2+2/2,(2^2)!+(2*22-2)^2+f22
1789,3,3!+(3/3+3!)^3+3!!+3!!,3!+(f33+3!)^3+3!!+3!!
1789,4,4+((√4+4!)/4)^4-√(4^-4),4+(f{s4+4!}4)^4-s{4^{-4}}
1789,5,5*(5!+5!+5!)-55/5,5*(5!+5!+5!)-f{55}5
1789,6,6+√(6/6+6)^6+6!+6!,6+s{f66+6}^6+6!+6!
1789,7,7+(√7^7-√7)/√7+(7!+7!)/7,7+f{s7^7-s7}{s7}+f{7!+7!}7
1789,8,√(8+8)+(8!/(8+8)+8!)/(√(8+8))!,s{8+8}+f{f{8!}{8+8}+8!}{(s{8+8})!}
1789,9,√9+(√9)!!+(9*((√9)!!-9)-√9)/(√9)!,s9+(s9)!!+f{9*((s9)!!-9)-s9}{(s9)!}
1790,1,((1+1+1)!-1)*((1+1+1)!!/(1+1)-1-1),((1+1+1)!-1)*(f{(1+1+1)!!}{1+1}-1-1)
1790,2,2+(2^2)!+(2*22-2)^2,2+(2^2)!+(2*22-2)^2
1790,3,3!!+((3+3!)*(3!!-3!)-3!)/3!,3!!+f{(3+3!)*(3!!-3!)-3!}{3!}
1790,4,(4+4!)*√√√4^4!-√4,(4+4!)*s{s{s4}}^{4!}-s4
1790,5,5*(5!+5!+5!)-5-5,5*(5!+5!+5!)-5-5
1790,6,6!+6!+(6*6!-6!/6)/(6+6),6!+6!+f{6*6!-f{6!}6}{6+6}
1790,7,7+7*7*7+(7!+7!)/7,7+7*7*7+f{7!+7!}7
1790,8,√√(8+8)*(8-8/8+888),s{s{8+8}}*(8-f88+888)
1790,9,(√9)!!-9+(9*(√9)!!-(√9)!)/(√9)!,(s9)!!-9+f{9*(s9)!!-(s9)!}{(s9)!}
1791,1,111+(1+(1+1+1)!)!/(1+1+1),111+f{(1+(1+1+1)!)!}{1+1+1}
1791,2,(√(2^22)*(2-2^-2)-2)/2,f{s{2^{22}}*(2-2^{-2})-2}2
1791,3,3*(3!!-3!!/3!-3),3*(3!!-f{3!!}{3!}-3)
1791,4,(4+4!)*√√√4^4!-√4/√4,(4+4!)*s{s{s4}}^{4!}-f{s4}{s4}
1791,5,5/5+5*(5!+5!+5!)-5-5,f55+5*(5!+5!+5!)-5-5
1791,6,6+(6*6-6)*(6!-6)/(6+6),6+f{(6*6-6)*(6!-6)}{6+6}
1791,7,7!/7-7+(7+7)*77,f{7!}7-7+(7+7)*77
1791,8,888/8+8!/(√(8+8))!,f{888}8+f{8!}{(s{8+8})!}
1791,9,√9*(√9+(√9)!*99),s9*(s9+(s9)!*99)
1792,1,(1+(1+1+1)!)*√√√√√√√√((1+1)^(1+1)^11),(1+(1+1+1)!)*s{s{s{s{s{s{s{s{(1+1)^{(1+1)^{11}}}}}}}}}}
1792,2,2*2*2*(2+222),2*2*2*(2+222)
1792,3,(3!/3)^3!+(3!+3!)^3,(f{3!}3)^{3!}+(3!+3!)^3
1792,4,(4+4!)*√√√4^4!,(4+4!)*s{s{s4}}^{4!}
1792,5,((5+5)/5)^5*(5/5+55),(f{5+5}5)^5*(f55+55)
1792,6,((6+6)/6)^6+√(6+6)^6,(f{6+6}6)^6+s{6+6}^6
1792,7,(√√√7+√√√7)^(7+7/7),(s{s{s7}}+s{s{s7}})^{7+f77}
1792,8,√√(8+8)*(8+888),s{s{8+8}}*(8+888)
1792,9,((√9)!/√9)^(√9)!+(√9+9)^√9,(f{(s9)!}{s9})^{(s9)!}+(s9+9)^{s9}
1793,1,11*(1+(1+1)*(11-1-1)^(1+1)),11*(1+(1+1)*(11-1-1)^{1+1})
1793,2,(2+√(2^-2))*((2+2+2)!-2)-2,(2+s{2^{-2}})*((2+2+2)!-2)-2
1793,3,3!/3+3*(3!!-3!!/3!-3),f{3!}3+3*(3!!-f{3!!}{3!}-3)
1793,4,√4/√4+(4+4!)*√√√4^4!,f{s4}{s4}+(4+4!)*s{s{s4}}^{4!}
1793,5,5+5!/(5+5)*(5+5!/5+5!),5+f{5!}{5+5}*(5+f{5!}5+5!)
1793,6,66-6/6+√(6+6)^6,66-f66+s{6+6}^6
1793,7,7/7+(√√√7+√√√7)^(7+7/7),f77+(s{s{s7}}+s{s{s7}})^{7+f77}
1793,8,8+(8!/(8+8)+8!)/(√(8+8))!,8+f{f{8!}{8+8}+8!}{(s{8+8})!}
1793,9,(√9)!!-(√9)!+(9*(√9)!!-(√9)!)/(√9)!,(s9)!!-(s9)!+f{9*(s9)!!-(s9)!}{(s9)!}
1794,1,(1+1+1)*((1+1+1)!!-11^(1+1)-1),(1+1+1)*((1+1+1)!!-11^{1+1}-1)
1794,2,2+2*2*2*(2+222),2+2*2*2*(2+222)
1794,3,3*(3!!-3!!/3!)-3!,3*(3!!-f{3!!}{3!})-3!
1794,4,√4+(4+4!)*√√√4^4!,s4+(4+4!)*s{s{s4}}^{4!}
1794,5,5*(5!+5!+5!)-5-5/5,5*(5!+5!+5!)-5-f55
1794,6,66+√(6+6)^6,66+s{6+6}^6
